project;plan
display_link_plus;"This module is ready for Drupal 9."
gsaml;"This module <a href=""https://www.drupal.org/project/gsaml/releases/8.x-2.1"">8.x-2.x</a> release is already fully compatible with Drupal 9!"
block_place;"This is a direct port from Drupal 8 experimental core module."
graphql_node_preview;"This module is ready for Drupal 9."
config_share;"The latest release supports both 8.x and 9.x"
fragments;"Fragments is Drupal 9 compatible. Please report any issues in the issue queue."
jquery_scrollup;"Compatible with Drupal 9"
google_index_api;"Drupal 9 is fully supported since version 8.x-1.1."
mobile_native_share;"Mobile Native Share supports Drupal 9. Enjoy."
ui_patterns_pattern_lab;"Drupal 9 compatible since 8.x-1.0-alpha6"
gdpr_onetrust;"Drupal 9 Compatability is committed in the <a href=""https://www.drupal.org/project/gdpr_onetrust/releases/2.x-dev"" title=""2.x branch"">2.x branch</a> and a dev version is available for download. Help this project by testing this version"
uswds_ckeditor_integration;"1.0.x branch is compatible with Drupal 9."
cloudflare_purge;8/9
year;"Year is compatible with Drupal 9."
translate_tool;"This module is ready for Drupal 9."
ex_icons;"This module is compatible with Drupal 9."
page_attributes;"It will be availble for D9 upon its official release"
birthday_wish_mail;"This module is fully compatible with Drupal 9!"
personal_id;"This module is Drupal 9 compatible."
flatcomments;"Compatible with Drupal 9"
svg_icon;"The 8.x-1.x branch is compatible with Drupal 9."
nopremium;"This module is compatible with Drupal 9."
call_now_button;"This module is Drupal 9 compatible 🍻"
ipstack;"This module is ready for Drupal 9!"
bundle_redirect;"Bundle redirect module is ready for Drupal 9."
require_revision_log_message;"Drupal 9 ready."
change_user_route;"3.0.x is Drupal 9 compatible"
geocluster;"2.0.0+ is compatible with Drupal 9"
simple_password_reveal;"Drupal 9 ready!"
popup_onload;[#3083925]
popin;"This module is fully compatible with drupal 9."
auctions;"Drupal 9 ready from the start!"
eus;"End user session 8.x-1.x supports Drupal 9. Enjoy."
panache;"This theme is ready for Drupal 9 as of <a href=""https://www.drupal.org/project/panache/releases/8.x-1.1"">verison 1.1</a>!"
jstree_menu;"This module is already compatible with Drupal 9."
amunet;8/9
bibcite_migrate;"Currently no known Drupal 9 compatibility issues in latest dev."
grid_view_bootstrap;"This is Drupal 9 ready."
civic_breadcrumbs;"This module is compatible with drupal 9."
multivaluefield;"Drupal 9 ready"
webform_remote_select;"Compatible with Drupal 9"
page_popup;"Already compatible (no deprecated API & core_version_requirement is set)"
taxonomy_custom_controller;"Ready as it will release."
entity_toolbar;"This module is compatible with Drupal 9."
at_corolla;"Drupal 9 compatible"
welcome_mail;"This module is compatible with Drupal 9"
youtubeapi;"Drupal 9 ready"
contextual_filter_range_validator;"<a href=""https://www.drupal.org/project/contextual_filter_range_validator/releases/8.x-1.1"">Views Contextual Filter Validator: Number Range 8.x-1.1</a> supports Drupal 9."
migrate_media_handler;"Drupal 9 released!"
drusys_landing_page_builder;"Drupal 9 Available."
handsontable_yml_webform;"Fully compatible. Use release 8.x-1.2 of this module."
chat_livehelperchat;"Drupal 9 compatible."
modal_widget;"This module is Drupal 9 ready."
rng_conflict;"Not yet."
math_field;[#3083212]
paragraphs_type_help;"Use version 2.x of this module"
graphql_entity_by_object;"This module is ready for D9!"
quote;"8.x-2.0+ is Drupal 9 compatible."
age_exposed_filter;"The module is ready for Drupal 9."
notify;"Version 2 is compatible with Drupal 9."
migrate_source_html;"This module is Drupal 9 ready."
amazing_multiselect;"Porting this project to <strong>D9</strong> will start with <strong>Drupal 8.9</strong> first release ."
sendgrid_api;"Fully compatible with Drupal 9."
language_switcher_langcode_block;"This module is Drupal 9 ready."
migrate_scanner;"This module is compatible with Drupal 9."
iubenda_integration;"3.0.0-alpha1+ is Drupal 9 compatible."
commerce_ifthenpay;"This module is Drupal 9 compatible 🍻"
syncer;"Supports D9."
url_replace_filter;"Version 1.0 is compatible with Drupal 9."
entity_usage_integrity;"This module is Drupal 9 compatible."
queue_throttle;"Release <code>8.x-1.2</code> is D9 compatible!"
paypal_subscriptions;[#3084836]
ckeditor_datetime;"This module is Drupal 9 ready"
efs;"D9 compatibility 2.x branch"
scheduled_transitions_sidebar;"2.x branch is compatible with Drupal 8 and 9."
context_mobile_condition;"This module is compatible with Drupal 9."
layout_builder_customizer;"This module is Drupal 9 compatible 🍻"
smartmenus;"* There are no plans for a Drupal 9 version of this module."
facets_short_pretty_paths;"Is Drupal 9 compatible / dependencies might need patches"
entity_usage_views_field;"2.x branch compatible with Drupal 9"
comment_limit;"8.x-1.0-rc1+ is Drupal 9 compatible."
twitter;"Use this project instead: <em>TBD</em>"
number_formatter;"This module is ready for Drupal 9."
follow_unfollow;"-Ported in drupal 9"
christmas_snow;"Module is fully compatible with Drupal 9!"
lb_section_navigation;"The module is Drupal 9 ready"
cookie_samesite_support;"This is D9 compatible."
jumper;"Jumper (Jump Anywhere) 8.x supports Drupal 9. Enjoy."
yg_freelancer;"Theme is Drupal 9 Ready!"
wikipedia_client;"This module should be Drupal 9 compatible."
link_field_display_mode_formatter;"The module is compatible with Drupal 9"
time_spent;"This module is ready for Drupal 9."
ik_modals;"Compatibility for D9 starts at version 3.0.0 and up"
rest_mail_login;"Drupal 9 READY."
taxonomy_bulk_actions;"This project is Drupal 9 compatible."
lightship;"This theme is Drupal 9 ready."
filter_empty_tags;"This module is available on both D8 and D9."
extra_field_configuration;"This module is compatible with Drupal 9."
commerce_culqi;"Supported as of 2.0.0"
disable_user_login_and_registration;"Compatible with Drupal 9"
commerce_donation_flow;"Ready for Drupal 9!"
sticky_toolbar;"This module is Drupal 9 ready."
search_api_grouping;"This module is ready for D9!"
yandex_yml;"The current module version is ready to run."
foundation_sites;"This module is Drupal 9 compatible in the latest branch."
drowl_paragraphs;"This module is Drupal 9 compatible in the latest branch."
mailchimp_marketing;"Drupal 9 ready"
entity_reports;"Drupal 9 support is coming in 1.6."
otp_verification;"Currently no known issues with Drupal 9."
ekam;Compatible.
aws_cloudwatchlogs;"The module is supporting Drupal 8.8 and higher versions."
lupus_ce_renderer;"The module is compatible with Drupal 9 since 2.0.0-beta7."
simple_live_css;"This module is Drupal 9 ready!"
custom_elements;"The module is compatible with Drupal 9 since beta1."
select2_multicheck;"This module is already fully compatible with Drupal 9"
outlayer;"Outlayer 8.x supports Drupal 9. Enjoy."
acquia_purge_varnish;8/9
dan;"Ready for Drupal 9"
tab_manager;"Compatible with Drupal 9."
env_libraries;"Env Libraries supports Drupal 9."
views_data_export_phpspreadsheet;"Compatible with drupal 9"
first_time_login;"This module is Drupal 9 ready."
fivestar_smiley;"This module is Drupal 9 ready."
eep;"This project is ready for Drupal 9"
carryquery;"8.x-1.x-dev is now Drupal 9 compatible."
counter_on_scroll;"Available for Drupal 9."
gin_gutenberg;"Works with Drupal 9 out of the box"
recurly;"Drupal 9 support was added in [#3071817], but if anything was missed, please report it in a new issue (but check for similar issues first)."
timetable_cron;"This module is Drupal 9 ready."
image_background_formatter;"Drupal 9 is also supported."
comment_approver;"Comment approver 8.x-1.x-dev supports Drupal 9. Enjoy."
views_field_compare;"Fully compatible with Drupal 9."
dynamic_menu_item;"Module version <code>1.0</code> is Drupal 9 compatible. See issue [#3138812] for more details."
callus;"This module will work as is with Drupal 9."
text_block;"This module is fully compatible with Drupal 9."
pf_alerta;"This project is ready for Drupal 9"
field_group_bootstrap;"support drupal 9"
fasttoggle;"8.x-3.0+ is Drupal 9 compatible."
mortgage_calculator;"Edit Real Estate Mortgage Calculator is compatible with Drupal 9."
reference_blocked_users;8/9
barebones;"This theme is compatible with Drupal 9."
commerce_ingenico;"Drupal 9 ready since 8.x-1.0-beta2"
druppio_small_business;"This theme is Drupal 9 ready."
spamaway;"It's D9 ready baby!"
bootstrap4_tools;"Version 2.0+ is compatible with Drupal 9."
partial_multi;"This project is Drupal 9 compatible."
php_password;"The latest release should support Drupal 9. Please report any issues."
commerce_multisafepay_payments;"This module is Drupal 9 ready."
gdpr_video;"Ready now for D8.9 and D9.x"
govuk_webform_elements;"Fully ported to Drupal 9"
notfoundpassthrough;"Page Not Found Passthrough works in Drupal 9."
crossword;"8.x-1.x-dev is compatible with D9."
expose_status;"This project is compatible with Drupal 9."
file_history;"This module are D9 ready !"
webform_dynamic_autocomplete;"This module works for Drupal 9 as well as for Drupal 8 versions above 8.7"
sarbacane;"This module is Drupal 9 ready."
galleriajs;"The module is compatible with Drupal 9."
simpleads;"Drupal 8/9 version support is available for purchase https://downloads.minnur.com/drupal/simpleads"
group_extras;"Ready for Drupal9"
instagram_field;"2019-07-31: No drupal-check errors in this module"
twitter_api;"The 8.x-1.x branch supports Drupal 9"
drowl_media;"This module is Drupal 9 compatible in the latest branch."
commerce_otpsp;"Help port this project at [#3099573]"
paragraphs_bootstrap_carousel;"ready for drupal 9"
media_pixabay;"Media Pixabay 8.x-1.0+ supports Drupal 9."
h5p_analytics;"Current codebase should have no issues working with upcoming Drupal version 9 as soon as the main H5P module catches up."
brreg_api;"This project is 100% compatible with Drupal 9"
teamleader;"This project will be compatible with Drupal 9 when it is released."
invoice_agent;"Read more about this project’s readiness at [#3090689]."
field_permissions_group;"Project is compatible with Drupal 8.8 or 9."
alexa;"Drupal 9 compatible since version 1.0-rc2"
custom_500_error;"it's compatible with both 8 and 9"
web_page_archive;"Drupal 9 support is underway: [#3112530]"
text_rotator_filter;"Drupal 9 is fully supported."
akismet;"Help port this project at [#3225169]"
download_statistics;"This module is Drupal 9 ready."
commerce_extra_items;"Compatible with Drupal 9 since version 1.2."
ckeditor_google_search;"Requires Drupal: ^8 || ^9"
expose_actions;"This project is ready for Drupal 9"
line_awesome;"This module is Drupal 9 compatible 🍻"
taarikh;"8.x-1.0-alpha3 is compatible with Drupal 9"
html5_audio_player;"We are ready to port this module in Drupal 9."
quicker_edit;"The maintainer will try to keep the module D9 ready from the stable release day. See [#3091733]"
link_fix_absolute_urls;"The module is fully compatible with D9."
apidae_tourisme;"<p><strong>The version 2.0.0-alpha2 is fully compatible with drupal 9 ! </strong> \\o/</p>"
mailtoui;"This module is Drupal 9 compatible 🍻"
migmag;"Compatible with Drupal 9."
kaltura_media;"This module is compatible with both Drupal 8.8 and Drupal 9"
drowl_header_slides;"This module is Drupal 9 compatible in the latest branch."
bibcite_altmetric;"Currently no known Drupal 9 compatibility issues in latest dev."
group_forum;"This project is ready for Drupal 9"
ckeditor_preview;"Drupal 9 compatible."
pc;"Use 2.x branch for Drupal 9."
azure_storage;"Release <code>2.0.0</code> is D9 compatible!"
social_contact_info;"Compatible with Drupal 9"
single_content_sync;"The module is Drupal 9 ready"
video_embed_twentythree;"Drupal 9 supported since 8.x-1.2."
config_backup;"This module is Drupal 9 compatible."
formstack;"Use version ^3.0.0"
paragraphs_tabs_widget;"Already compatible with Drupal 9! (<a href=""https://www.drupal.org/node/3187755/qa"">see the automated test results</a>)"
mapbox_ui;"Release 8.x-1.3 or higher is D9 compatible!"
page_hits;"Module fully compatible with Drupal 9."
views_argument_validator_regex;"<a href=""https://www.drupal.org/project/views_argument_validator_regex/releases/8.x-1.0"">Views Contextual Filter Validator: Regular Expression (regex) v8.x-1.0</a> supports Drupal 9."
create_new_entity_reference_permission;"Drupal 9 compatible!"
tag_formatter;"This module is ready for Drupal 9."
academic_applications;"Help port this project at [#3124158]."
popper_js;"This module is now superfluous and aspects are integrated into Drupal core."
filter_harmonizer;"Ready for use in D8 and D9."
delta_filter;"Drupal 9 ready."
token_var;"Token Variable 8.x-1.0+ supports Drupal 9."
pmfs;"Supports Drupal 9!"
prehome;"This module is Drupal 9 compliant."
trial_role;"This module has no known issues with Drupal 9"
commerce_pvt;"Ready to roll out on D9, cleaned code and <strong>drupal-checked</strong>-ed it."
group_webform;"Drupal 9 readiness added"
social_links;"Supported as of 8.x-2.0!"
crop_image;"This module is compatible with Drupal 9"
git_info;"Version 2.x is Drupal 9 compatible"
widencollective_filefield;"This module is compatible with Drupal 9."
graphql_flag;"8.x-1.x is Drupal 9 compatible."
yg_profile;"Theme ready for D9"
ckeditor_giella;"The module is Drupal 9 compatible."
datatables_cdn;"This module is Drupal 9 ready."
drowl_layouts;"This module is Drupal 9 compatible in the latest branch."
blazy_video_embed_field;"Use 2.0+ of this module."
monitoring_hrm;"Version 1.1 is compatible with D8.8 + D9.0"
libraries_delay_load;"2.0+ is compatible with Drupal 9"
password_policy_pwned;"The 8.x-1.x branch is compatible with Drupal 9."
uswds_paragraph_components;"2.1.x is compatible with Drupal 9."
update_worker;"This module is 100% compatible with Drupal 9."
commerce_banca_intesa;"This module is Drupal 9 ready."
filter_format_audit;"This module is D9 ready 🏖"
barebones_enhanced;"This theme is compatible with Drupal 9."
google_analytics_vimeo;"Use <a href=""https://www.drupal.org/project/google_analytics_vimeo/releases/8.x-1.1-alpha1"">8.x-1.1-alpha1</a>."
term_glossary;"This will have a stable Drupal 9 Release."
services_menu;"Drupal 9 Compatible"
linkychecker;"Compatible with Drupal 8 and 9."
recombee;"This module is Drupal 9 compatible."
hover_card;"This module is Drupal 9 ready."
drupal_yext;"This module is Drupal 9 compatible."
migrate_process_extras;"8.x-1.0-beta3 and above are D9 compatible ✨"
big_pipe_demo;"This module is ready for Drupal 9 as of <a href=""https://www.drupal.org/project/big_pipe_demo/releases/8.x-1.3"">version 1.3</a>!"
rokka;"Branch 2.x supports Drupal 9."
word_monitor;"This module is Drupal 9-compatible."
pdf_html;"Should be ready for use on Drupal 9"
licensing;"The 8.x-1.x branch of this module is compatible with Drupal 9."
plausible;"This module will support Drupal 9 at launch."
corona_live_tracker;"Ported to D9"
login_frequency;"Drupal 9 compatible from 8.x-1.2 version."
form_filter_fields;"Supporting D9 now!"
commerce_coinpayments;"Commerce Coinpayments 8.x-1.1+ supports Drupal 9. Enjoy."
commerce_direct_tax_field;"Not tested."
http_headers_cleaner;"Http-headers cleaner supports Drupal 9"
potion;"Potion is ready for Drupal 9"
one_time_login_link_admin;"It's completely supported in Drupal9."
fb_filter;"Facebook Filter 8.x-1.1 supports Drupal 9."
log_cache_tags;"This will be available in Drupal 9."
block_library;"Ready for Drupal 9!"
content_editing_message;"This module is already fully compatible with Drupal 9!"
rating_field;"This module should be ready for D9 as there is no deprecated code and works with 8.7.6 as well."
tweet_feed;"Drupal 8 & 9 support now available."
jsonapi_reference;"No known compatibility issues with Drupal 9."
ctc;"Clear Cache Tag 8.x-1.x supports Drupal 9. Enjoy."
breadcrumb_field;"Breadcrumb field module is compatible"
pingdom_rum;"This module is compatible with Drupal 9 starting from the 2.0.1 release"
all_extensions;"this module is compatible with Drupal 9 too"
disable_enable_all_assign_block;"Disable And Enable All Assign Block is fully compatible with Drupal 9!"
config2php;"Drupal 9 is fully supported since version 2.0.0-beta1"
node_body_class;"Compatible with Drupal 9"
dream_block_manager;Ready
search_api_recombee;"This module is Drupal 9 compatible."
transaction_workflow;"This module is compatible with Drupal 9 from version 1.0-beta1 onwards"
vefta;"This module will not be available for drupal 9, use video_embed_field instead."
webform_media;"Drupal 9 compatible 🎉"
popup_link_formatter;"Tested and it's working."
block_component_library;"We're happy to announce that this module is Drupal 9 compatible! :)"
user_password_randomizer;"Compatible with Drupal 9"
link_no_protocol;"This project will be compatible with Drupal 9 when it is released."
disable_autopopulate_rform;"This module is compatible with Drupal 9."
ip_lookup;"This module currently uses no deprecated code and should be compatible with Drupal 9 upon its release."
file_download_statistics;"it's compatible with Drupal 8 and 9"
entity_reference_preview;"This module is compatible with Drupal 9"
mtc;"This module is fully compatible with Drupal 9!"
anonymous_subscriptions;"Development release is available to use/test"
commerce_shopping_hours;"This module is Drupal 9 ready."
papaparse;"This module is Drupal 9 ready."
axeptio;"This module is ready for Drupal 9."
ckeditor_layouts;"This module is natively build for Drupal 9."
aws_s3_key_checker;"This module is ready for Drupal 9"
webform_sendgrid;"Compatible with Drupal 9."
commerce_tax_wa;"8.x-2.2 is compatible with Drupal 9."
something_went_wrong;"This module is Drupal 9 ready."
commerce_sage;"Ready for testing with Drupal 9"
custom_solr_search;"Custom SOLR search 8.x-2.0+ supports Drupal 9."
commerce_promo_link;"This module is ready for Drupal 9."
cart_item_count;"Currently, it is in active development phase. it will be available very soon for D9."
entity_share_websub;"Drupal 9 ready"
simple_lazyloader;"Help port this project at [#3088976]"
behat_ui;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/behat_ui?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
flashpoint;"<h2>2.0.x</h2> The Drupal 9 compatible version, 2.0.x, is now under development. The content entity structure will stay the same, but early alpha releases will begin with flashpoint_course, followed by flashpoint_community. Migration documentation will be added as modules are ported."
paybox;"This module is Drupal 9 ready."
roundabout;"<p>This module has no identified issues and should be ready.</p>"
bootstrap_pointnet;"As soon as the main theme, Bootstrap 8.x, will be compatible with Drupal 9 I will start the conversion of this sub-theme"
route_iframes;"Ready to be used on Drupal 9!"
digital_signage_framework;"This project is ready for Drupal 9"
mosaicformatter;"No plan to port to Drupal 9"
date_content;"This module was built in Drupal 9. Please open an issue if you encounter any problems with Drupal 8!"
commerce_btcpay;"Drupal 9 ready as of 8.x-1.0-alpha4"
search_api_solr_nlp;"Drupal 9 is fully supported!"
oauth_server_sso;"The 8.x module is compatible with Drupal 9 as well"
site_settings_path_alias;"This module is ready for Drupal 9!"
scheduled_message;"2.x branch is now compatible with Drupal 9!"
backward_compatibility;"What's better than Drupal 9? Drupal 9 that can run Drupal 8 modules."
custom_entity_pager;"This module is already compatible with Drupal 9."
pirate;"8.x-1.1 onwards is compatible with Drupal 9."
pipedrive;"The 9 version is a complete rewrite but will cover all existing functionality."
drowl_admin;"We're happy to announce that this module is Drupal 9 compatible in the 2.x branch! :)"
fasterweb;"No Drupal 9 issues identified"
csv_field;"This module is Drupal 9 ready."
real_estate;"The module is Drupal 9 compatible."
docbinder;"Drupal 9 is fully supported since version 1.1."
alternative_user_emails;"Probably D9 ready, but not tested."
hanging_conjunctions_filter;"This module supports Drupal 9."
honey;"This theme was created for Drupal 9."
mailboxlayer;"Mailboxlayer is compatible with Drupal 9"
simple_datalayer_trigger;"For Drupal 9 compatibility, use any 2.0.x version or above. Ex: <code>composer require drupal/simple_datalayer_trigger:^2.0</code>"
gem_checklist;"Fully compatible with Drupal 9"
seaside_admin;"This is module is Drupal 9 ready!"
entity_reference_finder;"Drupal 9 supported."
feedback;"Porting to Drupal 8 and 9 is happening in the <code>3.x</code> branch."
signageos;"This project is ready for Drupal 9"
info_messages;"Info Messages 8.x-1.1+ supports Drupal 9. Enjoy."
typedjs_filter;"Compatible with Drupal 9"
styled_image;"Compatible with D9."
term_quick_edit;"Term Quick Edit supports Drupal 9. Enjoy."
commerce_byjuno;"Drupal 9 Ready"
batch_jobs;"The Batch Jobs project has been ported to Drupal 9 although there may be additional work as additional changes are made to Drupal 9."
mynotes;"This module is Drupal 9 ready."
youtube_plus;"This module is already fully compatible with Drupal 9!"
amp_optimizer;"Compatible with Drupal 9"
anonymous_publishing;"This project relies on community support (patches and sponsorship) to complete porting to Drupal 8 and Drupal 9."
monolog_elasticsearch_date_processor;"This module is compatible with Drupal 9"
kafka;"Drupal 9 port issue is [#3122332]"
xsl_formatter;"Fully compatible as of 8.x-1.0-alpha1"
migrate_override;"Migrate upgrade is fully D9 compatible as of version 1.1-rc2"
smart_content_paragraphs;"Drupal 9 compatibility is pending these issues from <a href=""https://www.drupal.org/project/smart_content_segments"">Smart content segments</a> being fixed: <ul>   <li><a href=""https://www.drupal.org/project/smart_content_segments/issues/3148855"">Automated Drupal 9 compatibility fixes</a></li>   <li><a href=""https://www.drupal.org/project/smart_content_segments/issues/3151673"">Update info.yml file to allow D9 compatibility</a></li> </ul>"
commerce_payu;"D8 version will also D9 compatible."
jivochat;"ready for it"
openid_connect_harid;"Should be fully compatible"
aggrid;"Drupal 9 Ready!"
commerce_checkoutcom;"This module is Drupal 9 ready"
ymb;"8.x-2.0+ is Drupal 9 compatible."
qna;"8.x-1.0-alpha1+ is Drupal 9 compatible."
condition_pack;"Drupal 9 ready."
erl_restriction;"This module is ready for D9!"
entity_reference_number_widget;"Full supported as of the <a href=""https://www.drupal.org/project/entity_reference_number_widget/releases/8.x-1.0"">8.x-1.0</a> release."
media_library_filter;"To be reviewed"
commerce_globalpay_redeban;"The module is not tested in Drupal 9 yet but the code is writing to prevent deprecated functions and will offer compatibility with this version."
media_entity_consent;"This module is compatible with Drupal 9 (tested by drupal-check)"
twilio;"The latest 8.x-1.x-dev version is Drupal 9 compatible."
preview_site;"😎Compatible from day one"
yunke_captcha;"It already works for D9"
react_calendar;"2.0.0 is Drupal 9 compatible."
uc_pdf_invoice_mail;"Module fully compatible with Drupal 9."
students;[#3082548]
image_approval;"8.x-1.6 is compatible with Drupal 9"
image_alt;"Is Drupal 9 compatible."
toastify;"Drupal 9 is also supported!"
layout_builder_asset;"2.0.0-alpha1+ are compatible with Drupal 9."
simplenews_mailjet_subscriptions;"This project is Drupal 9 ready."
site_version;"Compatible with Drupal 9"
folder_redirect;"The module is Drupal9 ready."
foldershare_rest;"Adds drupal 9 compatibility, now requires drupal 8.7+, includes client bug fixes."
limit_domain_access_by_role;"Tested on Drupal 9 and confirmed fully functional."
lingotek_copy_source;"D9 compatible"
slimbox2;"The Version 8.x release of this module is Drupal 9 compatible."
dialog_api;"8.x-1.x-dev is Drupal 9 compatible."
gitlab_api;"This project is ready for Drupal 9"
loco_translate;"Loco Translate is ready for Drupal 9"
openy_autocomplete_path;"Not ready for Drupal 9. Needs some work in order to rely on filtering by bundle. See https://www.drupal.org/project/openy_autocomplete_path/issues/3189806"
cache_register;<code></code>
link_context;"Drupal 9 is fully supported since version 1.0."
dtuber;"Compatible with Drupal 9"
webform_unsubscribe;"The module is compatible with Drupal 9."
commerce_easy;"The latest release of the module is compatible with Drupal 9."
tota11y;"Branch 3.0.0 is Drupal 9 ready!"
alpha_pagination;"Drupal 8 & Drupal 9 work is currently in the 8.x-2.x dev branch. It is ready for testing and is very close to deployment"
cookie_consent_notice_by_cookieyes;[#3097028]
transliterate_twig;"Compatible with D9"
google_places_search_form;"8.x-2.0 is compatible for Drupal 9"
paragraph_skins;"Ready for Drupal 9"
drush_lock;"Drush Lock is compatible with Drupal 9."
elogger;"Can be used for D9 projects as well."
elui;"This module should already be compatible with Drupal 9. So if you find any depricated code please create an issue for it. Or an issue with a patch is even better :)"
page_notifications;"Tested on Drupal 9 and Drupal 8."
hax;"This is already ready for Drupal 9."
commerce_multisafepay;"This module is Drupal 9 ready."
commerce_product_reminder;"Drupal 9 ready"
popup;"[#3084134] [#3148456]"
vrssfa;"8.x-1.3+ is Drupal 9 compatible."
iubenda;"Drupal-9 compatible as of version 1.0-alpha3."
comment_anonymous_account_info;"Compatible with D8/D9"
dropfort_update;"Drupal 9 is being worked on."
dynamic_breadcrumb;"Release <code>8.x-1.1</code> is D9 compatible!"
flexible_add_more_widgets;"flexible_add_more_widgets 8.x-1.x-dev supports Drupal 9"
layout_builder_bgcolor;"Fully compatible as of 8.x-1.0-rc1."
gamification;"Compatible with D8 and D9"
data_pipelines;"Compatible with D9 from the first release ✨"
entity_role_view_mode_switcher;"Support has been added to the 2.x branch! Feel free to test and report issues"
muuri;"Release <code>8.x-1.2</code> is D9 compatible!"
ggpushcast;"The module is ready for Drupal 9."
nodeownership;"<strong>Parially supported</strong> <strong>8.x-1.2+</strong> will be a Drupal 9 compatible."
api_connection;"Drupal 9 compatible"
crypto_widget;"This module is already fully compatible with Drupal 9"
fieldmask;"Also comparable with drupal 9."
digest;"This module is fully compatible with Drupal 9."
h5p_challenge;"Current codebase should have no issues working with upcoming Drupal version 9 as soon as the main H5P module catches up."
claim_on_registration;"Version 1.6+ supports Drupal 9. See [#3139831] for more details."
patternkit;"Drupal 8 and Drupal 9 versions will be kept in parity until the 1.0 release, after which Drupal 8 1.0 will be marked LTS and new development will happen in the Drupal 9 branch."
request_cleanup;"Help port this project at [#3088975]"
remote_config_sync;"This module is Drupal 9 ready."
hideblock;"Ready to be used with Drupal 9"
hidden_toolbar;"This module is Drupal 9 ready. v8.x-2.1"
athenapdf_api;"8.x-1.x-dev is Drupal 9 compatible."
feeds_tamper_term_hierarchy;"It's Drupal 9 compatible."
config_entity_cloner;"Config Entity Cloner supports Drupal 9"
current_year;"This module is compatible with Drupal 9 with effect from version 1.0.1"
civic_job_posting;"This module is compatible with drupal 9."
entity_logger;"This module is Drupal 9 compatible."
scripturefilter;"This module is compatible with Drupal 9 starting with release 2.0.0."
autocomplete_field_match;"Should be all set. Current version has been updated and tested. File an issue if you find one. Patches appreciated."
mailjet_sign_up;"This module is Drupal 9 ready."
save_entities;"This module is already fully compatible with Drupal 9"
content_as_config;"This module is fully Drupal 9 compatible."
webcomponents;"Works now"
reference_swiper;"The Module is Drupal 9 ready."
config_revision;"D9 compatible."
ultimate_cron_views;"This project is now ready for Drupal 9."
node_randomizer;"This module is D9 compatible 🚀"
redirect_page_by_role;"Compatible with Drupal 9. Please <a href=""https://www.drupal.org/project/issues/redirect_page_by_role"">report</a> any incompatibilities."
entity_editor_tabs;"Compatible with Drupal 8 and 9"
dev_modules;"This project is ready for Drupal 9"
entity_edit_redirect;"fully compatible since v1.6"
thousandtok;"Compatible for D9!"
gfpn4nodes;"This module is Drupal 9 ready."
sqrl;"This project is ready for Drupal 9"
views_rss_media;"The Drupal 8.x-1.x branch is Drupal 9 compatible."
entity_clone_template;"8.x-1.+ is compatible with Drupal 9"
file_mime_validator;Enjoy!
commerce_fraud;"The 2.0 branch works with both Drupal 8 and 9"
openbusiness;"OpenBusiness 1.4 is now compatible with Drupal 9!"
hypothesis;"This module is ready for Drupal 9. (https://www.drupal.org/project/hypothesis/issues/3142878)"
pf_email;"This project is ready for Drupal 9"
radius_login;"Currently no known issues with Drupal 9."
cookie_condition;"Should be supported already by Drupal 9"
image_gen;"Ready ;)"
template_generator;"The module is porting by Drupal 9."
cache_entity_type;"Compatible with Drupal 9"
entity_form_monitor;"This module is Drupal 9 ready."
botbattler;"This module is ready for D9."
vegas;"[#2923825] will make this module Drupal 9 ready."
gmap_static;"1.0.0 is compatible with Drupal 9."
search_365;"Ready for Drupal 9"
commerce_epn;"This project is ready for Drupal 9!"
commerce_recurring_metered;"Drupal 9 readiness issue: [#3128960]"
psv;"This module is Drupal 9 ready."
bibcite_pubmed;"Currently no known Drupal 9 compatibility issues in latest dev."
bestreply;"8.x-3.x branch is Drupal 9 compatible."
layout_builder_backgrounds;"Layout Builder Backgrounds is compatible with Drupal 9."
skpr_key;"This module is compatible with Drupal 9."
minesweeper;"This project is now ready for Drupal 9!"
token_environment;"This module is ready for Drupal 9"
mailchimp_webform_handler;"D9 ready!"
webtheme;"<strong>Drupal 9 ready</strong>"
website_feedback;"Supports Drupal 9"
drush9_example;[#3083224]
back_2_top;"This project is currently being tested for Drupal 9 compatibility."
smart_ip_locale_redirect;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/smart_ip_locale_redirect?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
commerce_trustedshops;"Commerce TrustedShops is ready for Drupal 9"
stop_admin;"This module is Drupal 9 ready."
mustache_templates;"The latest beta release is compatible with D9. Please report in the issue queue if you have any problems or if it works well for you."
commerce_omnikassa;"This module is D9 compatible."
s3client;"😎Supports D9 from day one."
drush9_batch_processing;[#3083225]
faker;"Release <code>8.x-2.0-alpha2</code> is D9 compatible!"
cmrf_core;"This module is ported to Drupal 9."
worldmap;ready
video_embed_dacast;"Fully compatible as of 8.x-1.0."
user_info_widget;"This module is Drupal 9 ready."
commerce_omise;"The module is compatible with D9 since 1.0-beta2."
rcr;"1.0.0+ is Drupal 9 compatible."
matrix_api;"Matrix API is fully compatible with Drupal 9."
classitup;"This module is fully compatible with Drupal 9."
nextpath_bat_booking;"The module is ready for Drupal 9"
